variant_type,qual_threshold,truth_total,truth_tp,truth_fn,query_fp,metric_recall,metric_precision,metric_f1_score
SNP,1212.640015,71333,10653,60680,21,0.149342,0.998033,0.259807
SNP,1213.640015,71333,10622,60711,21,0.14890699999999998,0.998027,0.25914899999999996
SNP,1214.640015,71333,10585,60748,21,0.14838900000000002,0.99802,0.258363
SNP,1215.640015,71333,10548,60785,21,0.14787,0.9980129999999999,0.257576
SNP,12155.000000,71333,0,71333,0,0.0,,
SNP,1216.640015,71333,10498,60835,21,0.147169,0.9980040000000001,0.25651199999999996
SNP,1217.640015,71333,10463,60870,21,0.146678,0.9979969999999999,0.255766
SNP,1218.640015,71333,10422,60911,21,0.146103,0.9979889999999999,0.254891
SNP,1219.640015,71333,10386,60947,21,0.145599,0.997983,0.254123
SNP,122.449997,71333,70645,688,319,0.9903549999999999,0.9955069999999999,0.992924
SNP,1220.640015,71333,10345,60988,21,0.14502400000000001,0.997975,0.253247
SNP,1221.640015,71333,10303,61030,21,0.14443499999999998,0.997966,0.252348
SNP,12214.599609,71333,0,71333,0,0.0,,
SNP,1222.640015,71333,10275,61058,21,0.144043,0.9979610000000001,0.251749
SNP,1223.640015,71333,10234,61099,21,0.143468,0.9979530000000001,0.25087
SNP,1224.640015,71333,10208,61125,21,0.143103,0.9979469999999999,0.250313
SNP,1225.640015,71333,10175,61158,21,0.14264100000000002,0.997941,0.249604
SNP,1226.640015,71333,10137,61196,21,0.14210799999999998,0.997933,0.248788
SNP,1227.640015,71333,10103,61230,20,0.14163199999999998,0.998025,0.24806
SNP,1228.319946,71333,10068,61265,19,0.14114100000000002,0.998117,0.24731
SNP,12288.099609,71333,0,71333,0,0.0,,
SNP,1229.060059,71333,10067,61266,19,0.141127,0.998117,0.24728899999999998
SNP,1229.640015,71333,10026,61307,19,0.140552,0.998109,0.246406
SNP,123.040001,71333,70641,692,316,0.9902989999999999,0.995548,0.992917
SNP,123.639999,71333,70641,692,316,0.9902989999999999,0.995548,0.992917
SNP,1230.640015,71333,9992,61341,19,0.140075,0.998102,0.245673
SNP,1231.640015,71333,9964,61369,19,0.139683,0.9980969999999999,0.245069
SNP,1232.640015,71333,9916,61417,19,0.13901,0.998088,0.24403200000000003
SNP,1233.640015,71333,9886,61447,19,0.13858900000000002,0.998082,0.24338400000000002
SNP,1234.640015,71333,9853,61480,19,0.138127,0.9980760000000001,0.24266999999999997
SNP,1235.640015,71333,9825,61508,19,0.137734,0.9980700000000001,0.24206399999999997
SNP,1236.640015,71333,9782,61551,19,0.137131,0.9980620000000001,0.241132
SNP,1237.640015,71333,9758,61575,19,0.136795,0.998057,0.240612
SNP,12374.099609,71333,0,71333,0,0.0,,
SNP,1238.640015,71333,9720,61613,19,0.136262,0.998049,0.239787
SNP,1239.640015,71333,9691,61642,19,0.135856,0.998044,0.239157
SNP,124.639999,71333,70633,700,315,0.990187,0.9955620000000001,0.992867
SNP,1241.060059,71333,9658,61675,19,0.135393,0.9980370000000001,0.23844
SNP,1241.640015,71333,9632,61701,19,0.135029,0.9980319999999999,0.23787399999999997
SNP,1242.640015,71333,9600,61733,19,0.13458,0.998025,0.23717800000000003
SNP,1243.640015,71333,9560,61773,19,0.134019,0.998017,0.236306
SNP,1244.640015,71333,9527,61806,19,0.13355699999999998,0.9980100000000001,0.235587
SNP,1245.640015,71333,9488,61845,19,0.13301,0.9980020000000001,0.234735
SNP,1246.640015,71333,9450,61883,19,0.132477,0.997994,0.23390500000000003
SNP,1247.640015,71333,9417,61916,19,0.13201500000000002,0.9979870000000001,0.233184
SNP,1248.640015,71333,9372,61961,19,0.131384,0.997977,0.232199
SNP,1249.640015,71333,9339,61994,19,0.130921,0.99797,0.23147600000000002
SNP,125.639999,71333,70628,705,314,0.990117,0.995576,0.9928389999999999
SNP,1250.640015,71333,9299,62034,19,0.13036,0.9979610000000001,0.23059899999999997
SNP,12503.099609,71333,0,71333,0,0.0,,
SNP,1251.640015,71333,9264,62069,19,0.12987,0.9979540000000001,0.22983
SNP,1252.640015,71333,9229,62104,19,0.129379,0.9979459999999999,0.22906100000000001
SNP,1253.640015,71333,9191,62142,19,0.12884600000000002,0.9979370000000001,0.228226
SNP,1254.640015,71333,9158,62175,19,0.128384,0.9979299999999999,0.2275
SNP,12541.599609,71333,0,71333,0,0.0,,
SNP,1255.640015,71333,9114,62219,19,0.12776700000000002,0.99792,0.22653
SNP,1256.640015,71333,9078,62255,19,0.127262,0.9979120000000001,0.225737
SNP,1257.640015,71333,9040,62293,19,0.12673,0.9979030000000001,0.22489800000000001
SNP,1258.640015,71333,8999,62334,19,0.126155,0.9978940000000001,0.223992
SNP,12587.599609,71333,0,71333,0,0.0,,
SNP,1259.640015,71333,8968,62365,19,0.12572,0.997886,0.223307
SNP,126.639999,71333,70612,721,314,0.989892,0.995575,0.992725
SNP,1260.640015,71333,8934,62399,19,0.125244,0.997878,0.222554
SNP,1261.640015,71333,8906,62427,19,0.124851,0.997872,0.22193400000000002
SNP,1262.640015,71333,8869,62464,19,0.124332,0.9978629999999999,0.22111399999999998
SNP,1263.640015,71333,8829,62504,19,0.12377200000000001,0.9978530000000001,0.220227
SNP,1264.640015,71333,8793,62540,19,0.123267,0.9978440000000001,0.219427
SNP,1265.640015,71333,8767,62566,19,0.122902,0.9978379999999999,0.218849
SNP,1266.640015,71333,8728,62605,19,0.12235599999999999,0.997828,0.217982
SNP,1267.640015,71333,8700,62633,19,0.12196300000000002,0.997821,0.21735900000000002
SNP,1268.640015,71333,8675,62658,19,0.12161300000000001,0.997815,0.216802
SNP,1269.640015,71333,8637,62696,19,0.12108,0.9978049999999999,0.215955
SNP,127.639999,71333,70608,725,313,0.989836,0.9955879999999999,0.9927040000000001
SNP,1270.640015,71333,8604,62729,19,0.120617,0.9977969999999999,0.215218
SNP,1271.640015,71333,8564,62769,19,0.120057,0.9977870000000001,0.214325
SNP,1272.640015,71333,8542,62791,19,0.11974800000000001,0.9977809999999999,0.213833
SNP,1273.640015,71333,8493,62840,19,0.11906099999999999,0.997768,0.21273699999999998
SNP,1274.640015,71333,8455,62878,19,0.118529,0.997758,0.21188600000000002
SNP,1275.640015,71333,8423,62910,19,0.11807999999999999,0.99775,0.211169
SNP,1276.640015,71333,8391,62942,19,0.117631,0.997741,0.21045100000000003
